Name;Index;DateTime;High;Low;Open;Close;BidVolume;AskVolume
Bar;3055;17/11/2025 19:35:00;24859;24838,25;24842,25;24840,75;2001;2196
Bar;3056;17/11/2025 19:40:00;24851,75;24830,25;24841,25;24834,5;1979;1567
Bar;3057;17/11/2025 19:45:00;24883,75;24833,5;24833,75;24869,5;2658;3413
Bar;3058;17/11/2025 19:50:00;24892,5;24868;24868,5;24887,75;1661;2183
Bar;3059;17/11/2025 19:55:00;24888,75;24853;24887,5;24853,5;2197;1239
Bar;3060;17/11/2025 20:00:00;24885,5;24851;24852,5;24879,25;2981;3666
Bar;3061;17/11/2025 20:05:00;24910;24870,5;24879,75;24898,5;2460;3021
Bar;3062;17/11/2025 20:10:00;24914,5;24888,25;24898,75;24902,75;1746;1845
Bar;3063;17/11/2025 20:15:00;24950;24902,5;24902,5;24946,75;2229;3488
Bar;3064;17/11/2025 20:20:00;24956,75;24929,25;24947;24935,5;2551;2729
Bar;3065;17/11/2025 20:25:00;24941,75;24907,5;24935,75;24915,25;2642;2043
Bar;3066;17/11/2025 20:30:00;24928,25;24908;24916,5;24920;1860;1830
Bar;3067;17/11/2025 20:35:00;24941,25;24918;24921;24932,5;1797;2180
Bar;3068;17/11/2025 20:40:00;24953,5;24930,5;24931,75;24950,25;1478;1733
Bar;3069;17/11/2025 20:45:00;24959,75;24943,25;24950,75;24943,75;1652;1464
Bar;3070;17/11/2025 20:50:00;24946,25;24933;24943;24937,25;1393;1127
Bar;3071;17/11/2025 20:55:00;24943,75;24932,25;24936,75;24935;942;864
Bar;3072;17/11/2025 21:00:00;24939,25;24922,25;24933,5;24935;1590;1303
Bar;3073;17/11/2025 21:05:00;24945;24922;24934;24944,25;1056;1253
Bar;3074;17/11/2025 21:10:00;24953,75;24923;24944;24925,75;1671;1416
Bar;3075;17/11/2025 21:15:00;24937;24908,75;24926,5;24912;1925;1344
Bar;3076;17/11/2025 21:20:00;24941,5;24910,25;24912;24928,75;1886;2163
Bar;3077;17/11/2025 21:25:00;24930,75;24916,25;24928,5;24926;1174;1127
Bar;3078;17/11/2025 21:30:00;24935;24913,5;24926;24914,25;1508;1407
Bar;3079;17/11/2025 21:35:00;24922,25;24872,75;24914,25;24874,5;3884;2798
Bar;3080;17/11/2025 21:40:00;24886,5;24870;24874;24875,25;1631;1740
Bar;3081;17/11/2025 21:45:00;24881,5;24863;24875;24863,5;1714;1689
Bar;3082;17/11/2025 21:50:00;24886,5;24861,75;24863,25;24883;1422;1853
Bar;3083;17/11/2025 21:55:00;24884,75;24837,5;24882,75;24840;2918;1899
Bar;3084;17/11/2025 22:00:00;24841,5;24821;24840;24825;3317;2660
Bar;3085;17/11/2025 22:05:00;24837,5;24801,5;24825,75;24823,25;2870;2585
Bar;3086;17/11/2025 22:10:00;24837,25;24807,5;24822,75;24818,75;2330;2271
Bar;3087;17/11/2025 22:15:00;24841,25;24813,5;24818,25;24828,75;1914;2260
Bar;3088;17/11/2025 22:20:00;24841;24820,5;24829,5;24824;1556;1397
Bar;3089;17/11/2025 22:25:00;24836,5;24800,75;24824,5;24802,75;1587;1263
Bar;3090;17/11/2025 22:30:00;24818;24794,75;24802,75;24817;2689;2692
Bar;3091;17/11/2025 22:35:00;24820,75;24784,75;24817,5;24815;2713;2588
Bar;3092;17/11/2025 22:40:00;24817,5;24796;24815;24799,75;1525;1555
Bar;3093;17/11/2025 22:45:00;24807,25;24777,75;24800,5;24780,25;2416;2066
Bar;3094;17/11/2025 22:50:00;24791,5;24762;24779,5;24790;2480;2734
Bar;3095;17/11/2025 22:55:00;24795,75;24774,75;24790,25;24785,5;1879;2165
Bar;3096;17/11/2025 23:00:00;24785,25;24756,5;24784,75;24760,25;2342;1650
Bar;3097;17/11/2025 23:05:00;24773;24749,75;24759,5;24753,25;2209;1964
Bar;3098;17/11/2025 23:10:00;24753,25;24716,25;24753;24716,5;4452;3402
Bar;3099;17/11/2025 23:15:00;24724,5;24634,75;24716,5;24640,25;7559;6973
Bar;3100;17/11/2025 23:20:00;24659,5;24607,5;24639,5;24646,5;6873;7207
Bar;3101;17/11/2025 23:25:00;24669,75;24637,25;24646,5;24651,5;3434;3372
Bar;3102;17/11/2025 23:30:00;24694;24651,75;24651,75;24684,75;3146;3769
Bar;3103;17/11/2025 23:35:00;24694,75;24665,5;24685;24685,5;2547;2569
Bar;3104;17/11/2025 23:40:00;24699;24673;24685,5;24691,5;1854;1981
Bar;3105;17/11/2025 23:45:00;24705,75;24680;24690,5;24700,75;2068;2118
Bar;3106;17/11/2025 23:50:00;24726,75;24697,5;24700,75;24724,75;2170;2851
Bar;3107;17/11/2025 23:55:00;24741;24723,25;24724,25;24730,25;2413;2385
Bar;3108;18/11/2025 00:00:00;24734,25;24690,25;24730,25;24713,5;3601;2885
Bar;3109;18/11/2025 00:05:00;24749,5;24711,25;24714;24736,5;2512;3017
Bar;3110;18/11/2025 00:10:00;24763,75;24733,75;24735,75;24753,75;2182;2437
Bar;3111;18/11/2025 00:15:00;24761;24733,25;24754,25;24760,5;2139;1915
Bar;3112;18/11/2025 00:20:00;24767,25;24743;24761;24747,25;1949;1664
Bar;3113;18/11/2025 00:25:00;24749;24723,75;24747,5;24727,5;2199;1639
Bar;3114;18/11/2025 00:30:00;24744,25;24723,5;24728,25;24736,5;1439;1750
Bar;3115;18/11/2025 00:35:00;24745;24729,25;24737,5;24740;1144;1198
Bar;3116;18/11/2025 00:40:00;24746,25;24727,75;24740,25;24740,5;943;942
Bar;3117;18/11/2025 00:45:00;24754,75;24735,5;24741,5;24750,75;1162;1549
Bar;3118;18/11/2025 00:50:00;24756;24719,5;24750;24721,75;2397;1623
Bar;3119;18/11/2025 00:55:00;24731,75;24708,25;24721,75;24709,25;2299;1677
Bar;3120;18/11/2025 01:00:00;24738,25;24708,5;24709,75;24718,5;1740;1860
Bar;3121;18/11/2025 01:05:00;24724,25;24697;24718,5;24708,5;1843;1619
Bar;3122;18/11/2025 01:10:00;24729,5;24707,75;24707,75;24724,25;1240;1607
Bar;3123;18/11/2025 01:15:00;24747,75;24716;24724,75;24735,75;1305;1501
Bar;3124;18/11/2025 01:20:00;24736,25;24711,25;24736;24723,75;1487;1244
Bar;3125;18/11/2025 01:25:00;24729;24702;24723,75;24721;1310;1308
Bar;3126;18/11/2025 01:30:00;24720,75;24689,75;24720,75;24692,5;1903;1506
Bar;3127;18/11/2025 01:35:00;24693;24641;24692;24645,5;3850;2754
Bar;3128;18/11/2025 01:40:00;24673,5;24644,25;24645,25;24652;3023;3238
Bar;3129;18/11/2025 01:45:00;24668;24645,5;24651,75;24666,5;1771;2024
Bar;3130;18/11/2025 01:50:00;24668,25;24645;24667,75;24663,75;1299;1153
Bar;3131;18/11/2025 01:55:00;24686,75;24646,75;24663,75;24660;2276;2401
